               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.029087,            0.006406,           0.0032508,             0.91831,             0.93721,             0.98667,             0.82416,            0.017543,           0.0041488,           0.0021596,            0.009905,            0.009905,            0.009905
                  50,            0.029283,           0.0060509,           0.0028704,             0.89582,             0.93934,             0.98667,                0.77,            0.016249,           0.0041593,           0.0022166,            0.009903,            0.009903,            0.009903
                  51,            0.029759,           0.0056755,           0.0028999,             0.93341,             0.87915,             0.96625,             0.77067,            0.018034,           0.0045006,           0.0020527,            0.009901,            0.009901,            0.009901
                  52,            0.029594,           0.0062356,           0.0032968,             0.93353,             0.89266,             0.93103,             0.79852,            0.015728,           0.0053101,           0.0021019,            0.009899,            0.009899,            0.009899
                  53,            0.029192,           0.0059782,           0.0029793,             0.92792,             0.91154,             0.97625,             0.78652,            0.016209,           0.0044691,           0.0021537,            0.009897,            0.009897,            0.009897
                  54,            0.029231,           0.0059672,           0.0032325,             0.93082,             0.90665,             0.95393,             0.80173,            0.015327,           0.0048032,           0.0021881,           0.0098951,           0.0098951,           0.0098951
                  55,            0.029588,           0.0062537,           0.0034668,              0.9297,             0.86008,             0.94809,             0.78788,            0.017233,           0.0055802,           0.0021023,           0.0098931,           0.0098931,           0.0098931
                  56,            0.028112,           0.0058017,            0.002855,             0.90516,                0.95,             0.98667,             0.83506,            0.014651,           0.0039539,           0.0022637,           0.0098911,           0.0098911,           0.0098911
                  57,            0.029941,           0.0059223,           0.0032726,             0.92875,             0.88674,             0.98667,             0.76703,            0.017747,           0.0043016,           0.0021246,           0.0098891,           0.0098891,           0.0098891
                  58,            0.028399,            0.005853,           0.0031595,             0.93043,             0.93565,             0.97625,             0.78794,             0.01508,           0.0042574,           0.0020538,           0.0098871,           0.0098871,           0.0098871
                  59,            0.028548,           0.0055417,           0.0026372,             0.89668,             0.93147,               0.995,             0.78989,            0.015656,           0.0039552,           0.0020358,           0.0098852,           0.0098852,           0.0098852
                  60,            0.027991,           0.0056392,           0.0030646,             0.90311,             0.92312,             0.98667,             0.84344,            0.018489,           0.0037539,           0.0022708,           0.0098832,           0.0098832,           0.0098832
                  61,            0.028332,           0.0055908,           0.0029986,             0.94225,             0.90985,             0.97625,             0.81062,            0.016177,           0.0045376,           0.0020537,           0.0098812,           0.0098812,           0.0098812
